,0
a series,0.6931471805599453
aapl,0.6931471805599453
ability,0.6931471805599453
able,0.6931471805599453
absence,1.791759469228055
absolute,0.6931471805599453
acceleration,0.6931471805599453
access,0.4054651081081644
accessibility,0.6931471805599453
accessible,0.6931471805599453
accessory,0.6931471805599453
accidental,1.791759469228055
acclaim,1.0986122886681098
account,0.6931471805599453
accountability,1.791759469228055
accuracy,0.6931471805599453
accurate,0.6931471805599453
acquisition,0.6931471805599453
action,1.791759469228055
active,0.6931471805599453
activity,0.6931471805599453
actual,0.6931471805599453
ad,0.6931471805599453
adaptability,0.6931471805599453
adaptable,1.791759469228055
adaptation,1.791759469228055
adapter,1.791759469228055
adaptive,0.6931471805599453
addition,0.6931471805599453
additional,0.6931471805599453
address,1.791759469228055
adequate,1.791759469228055
adhesive,1.791759469228055
adjustment,0.6931471805599453
admirable,1.791759469228055
adobe,1.0986122886681098
adopter,0.6931471805599453
adoption,0.6931471805599453
adreno,0.6931471805599453
ads,1.791759469228055
adsense,1.791759469228055
adult,0.6931471805599453
advanced,0.6931471805599453
advancement,0.6931471805599453
advantage,0.6931471805599453
advertising,0.6931471805599453
advice,1.0986122886681098
advocacy,1.791759469228055
adwords,1.791759469228055
aesthetic,0.6931471805599453
afc,1.0986122886681098
affect,1.791759469228055
affecting,1.0986122886681098
affinity,1.791759469228055
affluent,1.0986122886681098
affordability,0.6931471805599453
affordable,0.6931471805599453
aficionado,1.791759469228055
africa,1.0986122886681098
age,0.6931471805599453
aged,1.791759469228055
aggressive,0.6931471805599453
agile,0.6931471805599453
agility,0.6931471805599453
ai,0.6931471805599453
ai assistant,1.0986122886681098
air,0.6931471805599453
airdrop,0.6931471805599453
airpods,0.6931471805599453
airpower,1.0986122886681098
algorithm,0.6931471805599453
algorithms,1.791759469228055
align,1.0986122886681098
allen,1.791759469228055
allow,1.791759469228055
alphabet,0.6931471805599453
alternative,0.6931471805599453
aluminum,0.6931471805599453
amd,0.4054651081081644
america,0.6931471805599453
american,1.0986122886681098
americas,1.791759469228055
amoled,0.6931471805599453
amount,1.0986122886681098
ample,0.6931471805599453
analysis,0.6931471805599453
analytic,1.791759469228055
android,0.6931471805599453
android device,1.0986122886681098
android interface,1.0986122886681098
android operating system,1.0986122886681098
android product,1.0986122886681098
